RefKey,ID Number,Number of Objects,Title,Title Language,Title Translation,Title Translation Language,Object name,Responsible department,Collection,Record Status,Brief Description,Comments,Dimension Part,Dimension Summary,Dimension ,Value,Unit,Content Person,Copy Number,Edition number,Form,Inscriber,Method,Material,Object status,Phase,Sex,Style,Tech attribute,Object component name,Production date,Production org,Organization role,Production people,Production person,Person role,Production place,Technique,Field collection event name,,,
CAT1,20CS.001.0001,1,A Man,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT2,20CS.001.0002,1,Rainbow,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT3,20CS.001.0003,1,Cloudy Day,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT4,20CS.001.0004,1,Dots Dots Dots,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT5,20CS.001.0005,1,Untitled (Watercolor I),English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.75 x 12,height; width,8.75; 12,in,,,,,,,watercolor; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT6,20CS.001.0006,1,Garden,English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,acrylic paint; construction paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT7,20CS.001.0007,1,Fireworks,English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,acrylic paint; construction paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT8,20CS.001.0008,1,Untitled (Watercolor II),English,,,painting,Paintings and Sculpture,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 12,height; width,9; 12,in,,,,,,,watercolor; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT9,20CS.001.0009,1,Cyclone,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT10,20CS.001.0010,1,Blue Monday,English,,,drawing,Prints and Drawings,Permanent Collection,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,8.5 x 11,height; width,8.5; 11,in,,,,,,,marker; paper,,,,,,,2015,,,,Eleanor Brown,artist,"Louisville, KY",,,,,
CAT11,20CS.018.1395,1,Souvenir books. The Wiz Scrapbook.,English,,,Souvenir books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 8.5 x .5,height; width; depth,11; 8.5; .5,in,,,,,,,paper,,,,,,,1978,Berkley Publising Group,publisher,,Richard J. Anobile,author,"Louisville, KY",,,,,
CAT12,20CS.008.0033a-d,1,Window cards. Applause.,English,,,Window cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,22 x 14,height; width,22; 14,in,Helen Morgan,,,,,,paper,,,,,,,1930,Paramount-Famous Lasky Corporation,distributor,,,,,lithography,,,,
CAT13,20CS.075.0084-.0094,1,Souvenir books. The Big Broadcast.,English,,,Souvenir books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,9 x 6,height; width,9; 6,in,,,,,,,paper,,,,,,,1932,Paramount Publix Corporation,distributor,,,,,,,,,
CAT14,20CS.075.0085,1,Campaign books. The New Show World 1929-1930.,English,,,Campaign books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12.5 x 9.75,height; width,12.5; 9.75,in,Clara Bow; Harold Lloyd,,,,,,paper,,,,,,,1929,Paramount-Famous Lasky Corporation,distributor,,,,,,,,,
CAT15,20CS.034.0001,1,Jackets. Monsieur Beaucaire.,English,,,Jackets,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,,,,,,,,,,,textile,,,,,,,1924,,,,Georges Barbier,designer,,,,,,
CAT16,20CS.107.0001,1,Sheet music. You Brought a New Kind of Love to Me.,English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,,,,,,,,,,,paper,,,,,,,1930,Famous Music Corporation,publisher,,,,,,,,,
CAT17,20CS.067.0001a,1,Souvenir books. The Smiling Lieutenant.,English,,,Souvenir books,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 8,height; width,12; 8,in,Maurice Chevalier,,,,,,paper,,,,,,,1931,Paramount Publix Corporation,licensor,,,,,,,,,
CAT18,20CS.008.0006a-f,1,Sheet music. Do Something.,English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 9,height; width,12; 9,in,,,,,,,paper,,,,,,,1929,,,,Bud Green,author,,,,,,
CAT19,20CS.017.0004,1,"Sheet music. What Do You Do Sunday, Mary?",English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 9,height; width,12; 9,in,,,,,,,paper,,,,,,,1923,,,,,,,,,,,
CAT20,20CS.031.0001,1,Sheet music. I'm Getting So Now I Don't Care.,English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 9,height; width,12; 9,in,Rudolph Valentino,,,,,,paper,,,,,,,1924,,,,,,,,,,,
CAT21,20CS.003.0006,1,Sheet music. Alone.,English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 9,height; width,12; 9,in,,,,,,,paper,,,,,,,1935,Robbins Music Corporation,publisher,,,,,,,,,
CAT22,20CS.038.0009,1,Sheet music. Please.,English,,,Sheet music,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,12 x 9,height; width,12; 9,in,Bing Crosby,,,,,,paper,,,,,,,1932,Famous Music Corporation,publisher,,,,,,,,,
CAT23,20CS.075.0360a-e,1,Window cards. Fast and Loose.,English,,,Window cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,22 x 14,height; width,22; 14,in,,,,,,,paper,,,,,,,1930,Paramount-Famous Lasky Corporation,,,,,,,,,,
CAT24,20CS.054.0056,1,Playsets. Admiral Television Studio.,English,,,Playsets,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,16.5 x 15.25,height; width,16.5; 15.25,in,,,,,,,plastic,,,,,,,1953,Admiral Corporation,distributor,,,,,,,,,
CAT25,20CS.080a-d,1,Lobby cards. Zaza.,English,,,Lobby cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 14,height; width,11; 14,in,,,,,,,paper,,,,,,,1923,Paramount Pictures,distributor,,,,,,,,,
CAT26,20CS.064.0068g,1,Lobby cards. Her Love Story.,English,,,Lobby cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 14,height; width,11; 14,in,,,,,,,paper,,,,,,,1924,,,,,,,,,,,
CAT27,20CS.024.0027,1,Lobby cards. A Sainted Devil.,English,,,Lobby cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 14,height; width,11; 14,in,,,,,,,paper,,,,,,,1924,Paramount Pictures,distributor,,,,,,,,,
CAT28,20CS.273,1,Lobby cards. The Potters.,English,,,Lobby cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 14,height; width,11; 14,in,,,,,,,paper,,,,,,,1927,Paramount Pictures,distributor,,,,,,,,,
CAT29,20CS.021.0171,1,Lobby cards. The Crowded Hour.,English,,,Lobby cards,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",unframed,11 x 14,height; width,11; 14,in,,,,,,,paper,,,,,,,1925,Paramount Pictures,distributor,,,,,,,,,
CAT30,20CS.002.0031,1,Dresses. Orphans of the Storm.,English,,,Dresses,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,61 x 22.5,height; width,61; 22.5,in,,,,,,,textile,,,,,,,1921,,,,Herman Patrick Tappe,designer,,,,,,
CAT31,20CS.096.0018,1,Dresses. When Knighthood Was in Flower.,English,,,Dresses,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,Size 8,,,,,,,,,,fur; textile,,,,,,,,,,,,,,,,,,
CAT32,20CS.096.0032,1,Capes. A Kiss for Cinderella.,English,,,Capes,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,Men's 38,,,,,,,,,,textile,,,,,,,1925,Eaves Costume Company,manufacturer,,,,,,,,,
CAT33,20CS.096.0044,1,Jackets. The Scarlet Letter.,English,,,Jackets,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,,,,,,,,,,,textile,,,,,,,1926,Eaves Costume Company,manufacturer,,,,,,,,,
CAT34,20CS.096.0056,1,Coats. A Kiss For Cinderella.,English,,,Coats,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,,,,,,,,,,,textile,,,,,,,1925,Eaves Costume Company,manufacturer,,,,,,,,,
CAT35,20CS.040.0013,1,Coats. Little Old New York.,English,,,Coats,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,Men's 38,,,,,,,,,,textile,,,,,,,1923,Eaves Costume Company,manufacturer,,,,,,,,,
CAT36,20CS.049.0008,1,Rampe,Danish,Ramp,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,315 x 980 x 150,height; width; depth,315; 980; 150,cm,,,,,,,plaster; glass,,,,,,,1973,,,,"Nørgaard, Bjørn ",artist,,,,,,
CAT37,20CS.019.0160,1,Gipsobjekt,Danish,Plaster Object,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,220 x 315 x 225,height; width; depth,220; 315; 225,cm,,,,,,,plaster; wood; wire,,,,,,,1967,,,,,,,,,,,
CAT38,20CS.037.0001,1,I de dage Paven kom til Damaskus,Danish,In those Days the Pope Came to Damascus,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,668 x 670 x 15,height; width; depth,668; 670; 15,cm,,,,,,,color intaglio,,,,,,,2002,,,,,,,,,,,
CAT39,20CS.004.0005-.0007,1,"Skitseblad med udkast til ""Glasmodeller"" m.m. ",Danish,"Sketch sheet with draft ""Glass Models"" etc.",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,245 x 338,height; width,245; 338,cm,,,,,,,pen; black marker pen; blue pen,,,,,,,1967,,,,,,,,,,,
CAT40,20CS.004.0008,1,"Skitseblad med skitser af ""Overhældninger med gibs"" ",Danish,"Sketch sheet with sketches of ""Over Slopes with plaster""",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,101 x 145,height; width,101; 145,cm,,,,,,,blue pen,,,,,,,1967,,,,,,,,,,,
CAT41,20CS.003.0131,1,"Notatark til Ta's skulpturfestival, Galleri 101, St. Kongengsgade, september ",Danish,"Notepads to Ta's sculpture festival, Gallery 101, St. Kongengsgade, September",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,245 x 171,height; width,245; 171,cm,,,,,,,blue pen,,,,,,,1967,,,,,,,On the back of the fragment of printed regnskabsark from Danish mortgages,,,,
CAT42,20CS.003.0132,1,"Skitseblad med plan over Bjørn Nørgaards bidrag til Ta's skulpturfestival, september ",Danish,Sketch sheet with the level of Bjørn Nørgaard's contribution to Ta's sculpture festival in September,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,174 x 146,height; width,174; 146,cm,,,,,,,blue pen,,,,,,,1967,,,,,,,On the back of the fragment of printed regnskabsark from Danish mortgages,,,,
CAT43,20CS.003.0261,1,Skitseblad med udkast til skulpturelle objekter; ikke udførte ,Danish,Sketch sheet with draft sculptural objects; not performed,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,218 x 341,height; width,218; 341,cm,,,,,,,pencil,,,,,,,1982,,,,,,,,,,,
CAT44,20CS.003.0267,1,Skitseblad med udkast til opstilling af standere og objekter på en udstilling på Vrå højskole ,Danish,Sketch sheet with draft layout of the stands and objects on an exhibition at Vraa School,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,175 x 245,height; width,175; 245,cm,,,,,,,blue-black pen,,,,,,,1967,,,,,,,,,,,
CAT45,20CS.024.0010a-b,1,Skitsebogsblad ,Danish,Sketch Book Magazine,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,125 x 200,height; width,125; 200,cm,,,,,,,blue pen,,,,,,,1967,,,,,,,,,,,
CAT46,20CS.024.0013a-b,1,"Skitseblad med selvportræt, bivouak og skulpturelle objekter ",Danish,"Sketch sheet with self-portrait, bivouak and sculptural objects",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,295 x 209,height; width,295; 209,cm,,,,,,,pen; ink,,,,,,,1967,,,,,,,"Drawn on the back of duplicated typewritten flyer from ""Anti Drug League / March 1968 "" entitled ""Youth destruction""",,,,
CAT47,20CS.021.0183a,1,Skitseblad med to udkast til gips- og trådmonument ,Danish,Sketch sheet with two draft plaster and wire monument,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,248 x 172,height; width,248; 172,cm,,,,,,,pencil,,,,,,,1968,,,,,,,Sign on the back of the fragment of regnskabsark for Danish mortgages,,,,
CAT48,20CS.024.1135,1,"Forlæg for to billeder til politikens tegneserie ""Livet i skovene"" ",Danish,"Model of two images of the policy cartoon ""Life in the Woods""",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,160 x 190,height; width,160; 190,cm,,,,,,,pen; ink; blue ink,,,,,,,1968,,,,,,,Two images pasted on underlying leaf,,,,
CAT49,20CS.024.1136,1,"Forlæg for plakaten ""Øst vest hjemme bedst"", U-2 Festival, Det ny samfund i Hithouse, Kbh. 9.-10.11 1969 ",Danish,"Model for the poster ""East west home is best"" U-2 Festival, the new community in Hithouse, Copenhagen. 9. - 10.11 1969",English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,315 x 233,height; width,315; 233,cm,,,,,,,blue pen; pen; ink,,,,,,,1969,,,,,,,pen and ink on magazine photo,,,,
CAT50,20CS.096.0081,1,Skitseblad ,Danish,Sketch Sheet,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,198 x 265,height; width,198; 265,cm,,,,,,,blue pen,,,,,,,1969,,,,,,,,,,,
CAT51,20CS.049.0127,1,Bedstemors død ,Danish,Grandmothers death,English,,,,Approved,,"This record contains sample data provided by CollectionSpace community members. While the record may reference real artworks, people, and organizations, the information should not be read as an accurate description of any artwork, person, or organization, or of relationships among them.",,149 x 224,height; width,149; 224,cm,,,,,,,coal; water,,,,,,,1978,,,,,,,,,,,
